target,model_name,algorithm_name,train_suite,test_suite,mae_train,mdae_train,r2_train,mae_test,mdae_test,r2_test
log_precision,random_forest,DE,cec2013,cec2014,0.2756681402464591,0.2464737264652741,0.8858245347757565,0.760640721821856,0.6477295127224404,-0.10197424690927437
log_precision,random_forest,DE,cec2013,cec2015,0.2756681402464591,0.2464737264652741,0.8858245347757565,0.598014962310937,0.6893108409216214,0.1568502624238549
log_precision,random_forest,DE,cec2013,cec2017,0.2756681402464591,0.2464737264652741,0.8858245347757565,0.6350745351318942,0.45179367366577017,-0.006211324172868737
log_precision,random_forest,DE,cec2013,bbob,0.2756681402464591,0.2464737264652741,0.8858245347757565,0.8079127832290245,0.848207454048562,-2.2057489686573226
log_precision,random_forest,DE,cec2014,cec2013,0.22081440424568077,0.2135781547215789,0.9091713222638709,0.8619030793103157,0.7316090467843109,0.004924411542507556
log_precision,random_forest,DE,cec2014,cec2015,0.22081440424568077,0.2135781547215789,0.9091713222638709,0.5336139781941281,0.45258404425081356,0.3090255415663229
log_precision,random_forest,DE,cec2014,cec2017,0.22081440424568077,0.2135781547215789,0.9091713222638709,0.7526915102580755,0.6870897137171246,-0.07760686076036882
log_precision,random_forest,DE,cec2014,bbob,0.22081440424568077,0.2135781547215789,0.9091713222638709,0.7546847728212533,0.711562810701029,-1.894290028125135
log_precision,random_forest,DE,cec2015,cec2013,0.29634938115814935,0.27146626839238275,0.8225233241011557,0.7712904696694035,0.5413067750711478,0.15114532732644648
log_precision,random_forest,DE,cec2015,cec2014,0.29634938115814935,0.27146626839238275,0.8225233241011557,0.768269439736041,0.7378457209753893,-0.07488440167984534
log_precision,random_forest,DE,cec2015,cec2017,0.29634938115814935,0.27146626839238275,0.8225233241011557,0.7342646351024474,0.7139008370452953,-0.07843626681094618
log_precision,random_forest,DE,cec2015,bbob,0.29634938115814935,0.27146626839238275,0.8225233241011557,1.1527789407843363,1.2602657112193116,-4.489816429166785
log_precision,random_forest,DE,cec2017,cec2013,0.2668945632116462,0.25974947105188617,0.8483786016683891,0.8399814319710633,0.7910559935447448,0.05584311560683086
log_precision,random_forest,DE,cec2017,cec2014,0.2668945632116462,0.25974947105188617,0.8483786016683891,0.7175813029715487,0.680043382829765,0.09498116747858232
log_precision,random_forest,DE,cec2017,cec2015,0.2668945632116462,0.25974947105188617,0.8483786016683891,0.5433967925799064,0.3508621153043996,0.19206187989081525
log_precision,random_forest,DE,cec2017,bbob,0.2668945632116462,0.25974947105188617,0.8483786016683891,0.9753128515813725,1.1189762116930888,-3.308295519852466
log_precision,random_forest,DE,bbob,cec2013,0.06285184065427146,0.03351683977399427,0.9660036454817731,1.2338045165054945,1.051028357409626,-0.8891622461379407
log_precision,random_forest,DE,bbob,cec2014,0.06285184065427146,0.03351683977399427,0.9660036454817731,0.7283497197020119,0.46400942458673666,-0.2601333801055272
log_precision,random_forest,DE,bbob,cec2015,0.06285184065427146,0.03351683977399427,0.9660036454817731,1.09836500707069,0.8756496451213927,-1.377953500336885
log_precision,random_forest,DE,bbob,cec2017,0.06285184065427146,0.03351683977399427,0.9660036454817731,1.0535897593833843,0.8854427389993312,-1.3354874231202136
log_precision,random_forest,RealSpacePSO,cec2013,cec2014,0.26454775273591613,0.1943905949338851,0.9080526393428788,0.8024831592047138,0.6769260318588135,0.19286518507141148
log_precision,random_forest,RealSpacePSO,cec2013,cec2015,0.26454775273591613,0.1943905949338851,0.9080526393428788,0.9552226897855115,0.7265914529123039,-0.35117877771126227
log_precision,random_forest,RealSpacePSO,cec2013,cec2017,0.26454775273591613,0.1943905949338851,0.9080526393428788,0.9368447347859844,0.6810030177899706,-0.34066468709929043
