f_id,i_id,precision,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.mmce_mda_10,ela_level.lda_qda_10,ela_level.lda_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.mmce_mda_25,ela_level.lda_qda_25,ela_level.lda_mda_25,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.mmce_mda_50,ela_level.lda_qda_50,ela_level.lda_mda_50,ela_level.qda_mda_50,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ic.h.max,ic.eps.s,ic.eps.max,ic.eps.ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init
1,1,1.2773838875546062e-08,0.87035,0.89575,0.9169,0.9413,0.8697,0.89575,0.9169,0.9412,-32.8433,-26.409399999999998,-21.06255,-14.8797,-33.07255,-26.4632,-21.10285,-14.9224,0.40195000000000003,15907401001.119751,679987.0797,169876970.2931,251.60985,0.65425,0.75695,512.17045,1.0,0.1,0.0637,0.1003,1.57015,0.9975,0.6341,0.2744,0.1047,0.09375,2.6327499999999997,2.94475,1.1332,0.25834999999999997,0.0936,0.09570000000000001,2.79395,2.6572,0.9889,1.5370499999999998,2.1064,14.0,0.7786500000000001,8.6537,32547116.0553,7.8729,0.55705,0.07535,0.94925,0.06955,0.0847,-0.31225,0.9,0.9,0.0909,0.9091,0.11954999999999999,0.11954999999999999,1.0,0.1513
2,1,1.2410481531333062e-08,0.7032499999999999,0.7621,0.8097000000000001,0.87865,0.69895,0.75955,0.8087500000000001,0.8786,-75.17705000000001,-60.27455,-48.22095,-30.74035,-76.41035,-61.05645,-48.5488,-30.81555,0.80045,90964240046.84256,6802829.27865,566734290.02635,82.51310000000001,0.8637999999999999,0.93975,5.81675,1.0,0.0724,0.0412,0.06470000000000001,1.7722,1.1212,0.63125,0.1227,0.0745,0.0914,1.6742,1.34215,0.80705,0.12605,0.09695000000000001,0.1014,1.31805,1.22995,0.937,0.6126,-0.062,1.0,0.82115,8.9139,112993393.8033,8.2933,0.5299499999999999,0.11695,0.9655,0.10705,0.0633,-0.34475,0.9,0.9,0.0909,0.8182,0.11995,0.11995,1.0,0.17354999999999998
3,1,19.999991319798625,1.00285,1.0004499999999998,0.99905,1.0,1.0025499999999998,1.0008499999999998,0.9992,0.9996,0.72515,0.10950000000000001,-0.22985,-0.009500000000000001,0.6454,0.21635,-0.19535,-0.10819999999999999,-0.0003,321.6925,1.93555e-06,0.0001,28.70825,-0.00035,-0.00025,24.01605,-0.00175,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.50325,0.50145,0.5005,1.0040499999999999,0.9983,1.0015,-0.6353,0.5253,1.0,0.8686,-1.977,0.0016,-2.5576,0.6656,0.04585,0.9112,0.0476,0.124,-0.6550499999999999,0.9,0.9,0.8182,0.9091,0.12090000000000001,0.12090000000000001,0.12090000000000001,0.10994999999999999
4,1,63.67704098070561,0.7153,0.7605999999999999,0.80095,0.8649,0.7138,0.76005,0.80135,0.8655,-72.1249,-60.6426,-50.42545,-34.227900000000005,-72.61205000000001,-60.89985,-50.4148,-34.14045,0.6169,685.4537,0.01035,0.7538,74.06305,0.68895,0.85775,3.1483499999999998,0.92735,0.09455,0.07289999999999999,0.0906,1.29325,1.0533000000000001,0.8132999999999999,0.18014999999999998,0.12869999999999998,0.1555,1.38855,1.1578499999999998,0.82945,0.19765,0.15250000000000002,0.17804999999999999,1.29055,1.11185,0.8685499999999999,0.7622,0.8042,1.0,0.8488,0.2853,0.28485,-0.3153,0.5806,0.0972,0.95745,0.08305,0.07355,-0.39905,0.9,0.9,0.8182,0.8182,0.121,0.121,0.2308,0.16375
5,1,1332.649535814233,0.97255,0.9774499999999999,0.98335,0.9861,0.97185,0.9773499999999999,0.98295,0.9858,-6.944599999999999,-5.7092,-4.2136499999999995,-3.5174,-7.1418,-5.747,-4.33685,-3.61535,0.02115,4536.0599,0.0329,0.84135,26.64415,0.02885,0.02835,31.814300000000003,0.040499999999999994,0.1,0.1,0.1,1.0,1.0,1.0,0.25,0.25025,0.2501,0.999,0.9995,1.0005,0.45535000000000003,0.449,0.45930000000000004,1.01315,0.9943500000000001,0.97895,-0.0354,-0.06570000000000001,1.0,0.87005,1.4464,4.4223,0.8659,0.6645,0.04645,0.9142,0.04965,0.12085,-0.6154,0.9,0.9,0.0909,0.9091,0.12204999999999999,0.12204999999999999,0.92145,0.1129
6,1,581.2014122654314,0.8831,0.90105,0.9132,0.9410000000000001,0.8821,0.9014,0.9133,0.94055,-29.617150000000002,-25.068350000000002,-22.00075,-14.941749999999999,-29.93745,-25.0338,-22.011499999999998,-15.08895,0.87515,10047593470.822151,252585.48745000002,148684443.97525,585.88865,0.93715,0.93885,730.6597,1.0,0.1201,0.022850000000000002,0.111,5.30575,1.081,0.2061,0.02775,0.03155,0.0392,0.87045,0.7119,0.80315,0.0328,0.0339,0.03325,0.9702,0.9827,1.0164499999999999,1.06005,0.34275,22.0,0.73755,8.2933,15566543.5927,7.4925,0.53365,0.07125000000000001,0.94575,0.0797,0.0891,-0.2702,0.9,0.9,0.0909,0.8182,0.12115000000000001,0.12115000000000001,1.0,0.17885
7,1,3.0846238548858196,0.81305,0.84805,0.8806,0.9218999999999999,0.81175,0.8468,0.87955,0.9212,-47.35965,-38.5061,-30.247799999999998,-19.78415,-47.7803,-38.87165,-30.5643,-20.004350000000002,0.57085,7534.48105,0.1809,100.2792,553.50055,0.7469,0.73595,478.1586,0.96315,0.0822,0.04345,0.07225000000000001,1.9081000000000001,1.1325500000000002,0.59015,0.14195,0.0678,0.059899999999999995,2.14105,2.38355,1.09785,0.14995,0.10170000000000001,0.0774,1.4832999999999998,1.90255,1.30795,2.2291499999999997,6.0572,14.0,0.70775,2.4474,9.2463,1.3664,0.534,0.0798,0.9537,0.0847,0.07869999999999999,-0.26375000000000004,0.9,0.9,0.0909,0.8182,0.1202,0.1202,0.9996,0.1626
8,1,243.95778606993906,0.92595,0.94755,0.9521999999999999,0.9568,0.9269000000000001,0.9480500000000001,0.95265,0.9567,-18.76125,-13.292449999999999,-12.1025,-10.95125,-18.56055,-13.18295,-12.014050000000001,-10.99205,0.5935999999999999,5031691266.94155,152641.89805000002,65168547.89655,429.0031,0.8909,0.7030000000000001,235.70025,1.0,0.1,0.047299999999999995,0.1001,2.1136,0.9988,0.47165,0.34765,0.0702,0.16899999999999998,4.90895,2.06805,0.4242,0.12874999999999998,0.07255,0.08940000000000001,1.7604,1.3949500000000001,0.8140000000000001,1.8114,3.29185,16.0,0.7577,8.1732,9375015.0151,7.3123,0.55095,0.0643,0.94165,0.06889999999999999,0.09484999999999999,-0.25865,0.9,0.9,0.0909,0.8182,0.1205,0.1205,1.0,0.16160000000000002
9,1,1125.7345282222989,0.7222500000000001,0.79745,0.8651500000000001,0.949,0.7230000000000001,0.7979499999999999,0.864,0.9480500000000001,-70.3629,-51.30415,-34.16055,-12.9285,-70.28105,-51.2636,-34.5167,-13.186399999999999,0.7101,2799.8486000000003,1.48485,12.0883,8.0282,0.8047,0.71365,32.14155,0.8345,0.048299999999999996,0.0312,0.0443,1.5387,1.0817999999999999,0.7076,0.0953,0.07275000000000001,0.08460000000000001,1.3148499999999999,1.1317499999999998,0.86765,0.12265,0.07985,0.0713,1.543,1.71955,1.1223,0.40459999999999996,-1.20105,10.0,0.75915,1.4865,3.5119,0.8258,0.5568,0.074,0.9412,0.08130000000000001,0.09025,-0.33804999999999996,0.9,0.9,0.0909,0.8182,0.12129999999999999,0.12129999999999999,0.9839,0.1698
10,1,276.6950491802454,0.9256,0.9404,0.9443,0.95085,0.92535,0.94,0.9436500000000001,0.9501999999999999,-18.85015,-15.10305,-14.1069,-12.45295,-18.94585,-15.2317,-14.3005,-12.64395,0.6221,4557533380.2992,1113439.01435,49584754.60335,45.71985,0.9146,0.6905,39.324,0.98605,0.1043,0.0452,0.1045,2.29335,0.994,0.43235,0.2771,0.06105,0.15625,4.51685,1.7317,0.40865,0.07780000000000001,0.07345,0.0757,1.07485,1.04325,0.96355,2.1408500000000004,5.54255,15.0,0.7464,8.1732,7445122.9108,7.2322,0.546,0.0688,0.9442,0.07844999999999999,0.0925,-0.25334999999999996,0.9,0.9,0.0909,0.8182,0.1195,0.1195,1.0,0.1643
