optimizer_name,budget,f0,f1,alpha,precision
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f003_i01_d05,0.7015923,10.260377605509248
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f019_i01_d05,0.7244142,2.1475904452603984
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f019_i01_d05,0.7924908,1.5874534400526414
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f019_i01_d05,0.80347663,1.7733362371074222
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f019_i01_d05,0.8079205,1.7844816036628544
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f019_i01_d05,0.8102318,1.7941980803236603
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f019_i01_d05,0.82492167,1.3579470476479827
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f019_i01_d05,0.82800865,1.4372106356338392
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f019_i01_d05,0.8299631,1.4968908356880277
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f019_i01_d05,0.84633315,1.5481436813021077
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f019_i01_d05,0.8645848,1.1916634505296742
DiagonalCMA,100,bbob_f001_i01_d05,shifted-bbob_f022_i01_d05,0.12858024,35.30872693801564
DiagonalCMA,100,bbob_f002_i01_d05,shifted-bbob_f005_i01_d05,0.9325032,21388.957583119292
DiagonalCMA,100,bbob_f002_i01_d05,shifted-bbob_f015_i01_d05,0.99990225,21816.149161784993
DiagonalCMA,100,bbob_f002_i01_d05,shifted-bbob_f022_i01_d05,0.9998951,20078.325922611508
DiagonalCMA,100,bbob_f002_i01_d05,shifted-bbob_f022_i01_d05,0.99995124,26751.684167572974
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f001_i01_d05,0.52629274,28.51221955564884
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f004_i01_d05,0.04116532,48.14290165939997
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.8152567,40.76738812008688
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.84355736,42.49092635435727
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.8442014,40.377670031813295
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.87131256,42.68279103875983
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.8718194,44.3436508434541
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.8737392,46.43402363070311
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.89619184,44.31675746122664
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.8964168,42.43322078221496
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.9208814,48.541928364052524
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.94547063,45.64483205807949
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.9477581,50.7421533540404
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f005_i01_d05,0.97746927,48.375672008301706
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f006_i01_d05,0.00040199683,20.8646911185402
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f006_i01_d05,0.00041113253,26.045496356277233
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f008_i01_d05,0.0007704774,58.59475710206135
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f009_i01_d05,0.0011028288,164.78446867169396
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f013_i01_d05,0.10075497,99.02027561380089
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f014_i01_d05,0.9159424,47.4390437884752
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f014_i01_d05,0.9192421,45.40199629463922
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f014_i01_d05,0.9230265,44.25389059040941
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f014_i01_d05,0.94644094,47.74385382519125
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f014_i01_d05,0.9473111,43.645978626890496
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f014_i01_d05,0.94945896,47.33355279234257
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f014_i01_d05,0.9498149,44.770548919844316
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f016_i01_d05,0.42392156,46.85668443028628
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f016_i01_d05,0.43262318,44.82605946636261
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f017_i01_d05,0.39565745,22.84298133347474
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f017_i01_d05,0.689238,34.40301452789788
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f018_i01_d05,0.20122153,32.72786052723572
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f018_i01_d05,0.3894249,38.872849206307365
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f018_i01_d05,0.4876736,35.41266564497769
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f019_i01_d05,0.6293203,33.65222119255105
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f020_i01_d05,0.003530951,2.8452549540526206
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f021_i01_d05,0.5316862,54.36372730694035
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f021_i01_d05,0.53428656,42.52128443187979
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f023_i01_d05,0.709771,37.7208903735156
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f023_i01_d05,0.783581,40.6931435903972
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f023_i01_d05,0.7854097,38.11553387238297
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f023_i01_d05,0.78638643,39.473926272434596
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f023_i01_d05,0.8143075,39.84344458059684
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f023_i01_d05,0.84455454,42.871292024329705
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f023_i01_d05,0.8475197,44.873931040977595
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f023_i01_d05,0.8479176,43.36835880157224
DiagonalCMA,100,bbob_f003_i01_d05,shifted-bbob_f024_i01_d05,0.0027743103,60.73219215000731
DiagonalCMA,100,bbob_f004_i01_d05,shifted-bbob_f003_i01_d05,0.83567923,46.027609822099976
DiagonalCMA,100,bbob_f004_i01_d05,shifted-bbob_f003_i01_d05,0.86836344,49.88914252869995
DiagonalCMA,100,bbob_f004_i01_d05,shifted-bbob_f003_i01_d05,0.89546126,45.533282070899986
DiagonalCMA,100,bbob_f004_i01_d05,shifted-bbob_f022_i01_d05,0.48153993,41.041412305476
DiagonalCMA,100,bbob_f004_i01_d05,shifted-bbob_f022_i01_d05,0.58335036,44.39442427316612
DiagonalCMA,100,bbob_f006_i01_d05,shifted-bbob_f022_i01_d05,0.9961744,33.45511786762664
DiagonalCMA,100,bbob_f006_i01_d05,shifted-bbob_f022_i01_d05,0.99619657,36.48135229950749
DiagonalCMA,100,bbob_f009_i01_d05,shifted-bbob_f014_i01_d05,1.0,2.513420815499998
DiagonalCMA,100,bbob_f009_i01_d05,shifted-bbob_f017_i01_d05,0.9679906,2.775901352831994
DiagonalCMA,100,bbob_f010_i01_d05,shifted-bbob_f022_i01_d05,0.99990106,32472.769500504306
DiagonalCMA,100,bbob_f010_i01_d05,shifted-bbob_f022_i01_d05,0.99995065,23997.854336948873
DiagonalCMA,100,bbob_f011_i01_d05,shifted-bbob_f019_i01_d05,0.99999636,95.98660253747187
DiagonalCMA,100,bbob_f012_i01_d05,shifted-bbob_f009_i01_d05,0.6445791,262412.67740336707
DiagonalCMA,100,bbob_f012_i01_d05,shifted-bbob_f022_i01_d05,0.99999857,426935.1115320167
DiagonalCMA,100,bbob_f013_i01_d05,shifted-bbob_f005_i01_d05,0.9944146,207.72564279925706
DiagonalCMA,100,bbob_f013_i01_d05,shifted-bbob_f005_i01_d05,0.9945032,175.65150619466843
DiagonalCMA,100,bbob_f013_i01_d05,shifted-bbob_f005_i01_d05,0.9989947,198.0355730226893
DiagonalCMA,100,bbob_f013_i01_d05,shifted-bbob_f005_i01_d05,0.9990524,205.472460512451
DiagonalCMA,100,bbob_f013_i01_d05,shifted-bbob_f005_i01_d05,0.99911654,217.33807503858395
DiagonalCMA,100,bbob_f013_i01_d05,shifted-bbob_f005_i01_d05,0.9991232,218.75461285578717
DiagonalCMA,100,bbob_f013_i01_d05,shifted-bbob_f005_i01_d05,0.9991893,179.64484436375224
DiagonalCMA,100,bbob_f013_i01_d05,shifted-bbob_f005_i01_d05,1.0,204.6353182897
DiagonalCMA,100,bbob_f013_i01_d05,shifted-bbob_f006_i01_d05,0.0031428572,23.21057410662526
DiagonalCMA,100,bbob_f015_i01_d05,shifted-bbob_f022_i01_d05,0.65243685,56.21601942464014
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f003_i01_d05,0.7833051,37.73171426445663
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f005_i01_d05,0.9864485,5.794580920387972
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f014_i01_d05,0.99327195,6.98800354770448
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f014_i01_d05,0.9949752,5.958567008119559
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f014_i01_d05,0.9997123,7.65821789122775
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f019_i01_d05,0.82648957,9.559243258159043
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f019_i01_d05,0.9451583,5.830019891158443
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f019_i01_d05,0.97494626,9.058434739500314
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.14204708,6.4978957066501835
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.14328748,9.634596507424362
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.14445017,11.60960523384199
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.14511864,11.143730984978674
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.14600945,11.587573946287876
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.14625852,11.127140326306971
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.1481778,11.468964941467902
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.14836945,11.688805342210003
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.14843331,11.815197235503206
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.1484693,8.63018080886286
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.14881264,9.187888926070514
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.15075804,10.229158338832804
DiagonalCMA,100,bbob_f016_i01_d05,shifted-bbob_f022_i01_d05,0.15119605,7.567895785370638
DiagonalCMA,100,bbob_f017_i01_d05,shifted-bbob_f003_i01_d05,0.17169517,43.581959798933894
DiagonalCMA,100,bbob_f017_i01_d05,shifted-bbob_f003_i01_d05,0.2744564,38.24558008696778
DiagonalCMA,100,bbob_f017_i01_d05,shifted-bbob_f003_i01_d05,0.2767051,40.156163042025014
DiagonalCMA,100,bbob_f017_i01_d05,shifted-bbob_f003_i01_d05,0.2893939,38.614647103889865
DiagonalCMA,100,bbob_f017_i01_d05,shifted-bbob_f003_i01_d05,0.34595537,34.89385549352738
DiagonalCMA,100,bbob_f018_i01_d05,shifted-bbob_f003_i01_d05,0.9209756,33.18251540720145
DiagonalCMA,100,bbob_f018_i01_d05,shifted-bbob_f019_i01_d05,0.9997415,21.297104282917743
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f001_i01_d05,0.20815423,0.8828232988520881
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f001_i01_d05,0.28656825,1.1907122568185642
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f001_i01_d05,0.29208356,1.1110122429471225
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f001_i01_d05,0.3406307,1.121250938262456
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f003_i01_d05,0.15968283,11.045332530427686
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f003_i01_d05,0.48425844,12.978826239805244
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f003_i01_d05,0.62812525,8.923548598297373
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f003_i01_d05,0.7094187,9.56458628186627
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f003_i01_d05,0.89050937,5.640599725741367
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f004_i01_d05,0.002221062,22.839259946145432
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f004_i01_d05,0.0046827244,27.704736054449768
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f004_i01_d05,0.0047403914,21.602146103519942
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f004_i01_d05,0.0048121056,25.202067875491878
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f005_i01_d05,0.6134911,1.7252046657970936
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f005_i01_d05,0.6252526,1.7405626301571573
DiagonalCMA,100,bbob_f019_i01_d05,shifted-bbob_f005_i01_d05,0.6570639,1.7567814593577253
