train_suite,BS1,BS2,BS3,BS4,BS5,BS6
BS1,,0.0947751643909644,0.0982996914089045,0.0947746273891063,0.0912213612255266,0.2467118516418445
BS2,0.0801052568459485,,0.0837639801465513,0.120867458521059,0.071320126078781,0.2331639065137757
BS3,0.0960981957564934,0.0905026878886606,,0.0789403799556666,0.0838522111155582,0.1942848328731962
BS4,0.0786706605553088,0.072180351477986,0.1028736568314436,,0.0792169889631542,0.2152728347588826
BS5,0.084811173217632,0.0655766276511151,0.0952188080773311,0.0863711494152309,,0.2242167221063005
BS6,0.1859221650681654,0.1829449285920968,0.1838755971390619,0.1854233555321147,0.202225483891155,
