train_suite,BS1,BS2,BS3,BS4,BS5,BS6
BS1,,0.0896689662518771,0.1120512136916034,0.1177646812666992,0.1108930099203851,0.3183068589454303
BS2,0.0937992241425341,,0.1178655804612587,0.1169672963813605,0.1108883301626531,0.2796479139326929
BS3,0.1234900843536295,0.1175597773844113,,0.1163337799689155,0.0986259190945346,0.3056984345528388
BS4,0.0923477618050262,0.119397022441864,0.1576835488861663,,0.111704712030999,0.3041110967241606
BS5,0.1048877601178667,0.0956997551343344,0.1059193588064366,0.0796274407011981,,0.3004047168754742
BS6,0.240901086579916,0.2402921118394133,0.2372670385105172,0.2577402528091234,0.2402921118394133,
