target,model_name,algorithm_name,train_suite,test_suite,mae_train,mdae_train,r2_train,mae_test,mdae_test,r2_test
log_precision,random_forest,diagCMA,BS1,BS2,0.09583096205810936,0.0657499432561053,0.9046959001069058,0.15117942616949898,0.08966896625187717,0.7504262597351881
log_precision,random_forest,diagCMA,BS1,BS3,0.09583096205810936,0.0657499432561053,0.9046959001069058,0.19072868981989335,0.11205121369160344,0.6111150315002432
log_precision,random_forest,diagCMA,BS1,BS4,0.09583096205810936,0.0657499432561053,0.9046959001069058,0.1906259833111967,0.11776468126669928,0.6918917005225635
log_precision,random_forest,diagCMA,BS1,BS5,0.09583096205810936,0.0657499432561053,0.9046959001069058,0.20070834680693803,0.11089300992038514,0.6370744002586888
log_precision,random_forest,diagCMA,BS1,BS6,0.09583096205810936,0.0657499432561053,0.9046959001069058,0.3670928718221827,0.3183068589454303,-0.00993711753733173
log_precision,random_forest,diagCMA,BS2,BS1,0.0766521921099911,0.04357752385626055,0.9281775425111715,0.179107118186779,0.09379922414253417,0.6742594736461387
log_precision,random_forest,diagCMA,BS2,BS3,0.0766521921099911,0.04357752385626055,0.9281775425111715,0.19685463867906725,0.11786558046125872,0.56197737526624
log_precision,random_forest,diagCMA,BS2,BS4,0.0766521921099911,0.04357752385626055,0.9281775425111715,0.21316338156409023,0.11696729638136058,0.5476843769061293
log_precision,random_forest,diagCMA,BS2,BS5,0.0766521921099911,0.04357752385626055,0.9281775425111715,0.22390450060873365,0.11088833016265315,0.4545780747719863
log_precision,random_forest,diagCMA,BS2,BS6,0.0766521921099911,0.04357752385626055,0.9281775425111715,0.37656201893129276,0.27964791393269295,-0.011171620501830848
log_precision,random_forest,diagCMA,BS3,BS1,0.09444197342096326,0.08197739076071128,0.929136094345022,0.18395179519379232,0.12349008435362956,0.6340665354937979
log_precision,random_forest,diagCMA,BS3,BS2,0.09444197342096326,0.08197739076071128,0.929136094345022,0.18666695593800287,0.11755977738441131,0.6778050646078044
log_precision,random_forest,diagCMA,BS3,BS4,0.09444197342096326,0.08197739076071128,0.929136094345022,0.18257506435836285,0.11633377996891558,0.615604376947773
log_precision,random_forest,diagCMA,BS3,BS5,0.09444197342096326,0.08197739076071128,0.929136094345022,0.21449702598141546,0.09862591909453466,0.496031802331775
log_precision,random_forest,diagCMA,BS3,BS6,0.09444197342096326,0.08197739076071128,0.929136094345022,0.3803870622332211,0.30569843455283885,-0.05147429895067135
log_precision,random_forest,diagCMA,BS4,BS1,0.08887835219950913,0.038153460099047576,0.9091425641650384,0.18777515518009064,0.09234776180502627,0.6484109017701939
log_precision,random_forest,diagCMA,BS4,BS2,0.08887835219950913,0.038153460099047576,0.9091425641650384,0.1855862533489351,0.11939702244186406,0.6720546481097986
log_precision,random_forest,diagCMA,BS4,BS3,0.08887835219950913,0.038153460099047576,0.9091425641650384,0.23150656369318173,0.1576835488861663,0.545619570979724
log_precision,random_forest,diagCMA,BS4,BS5,0.08887835219950913,0.038153460099047576,0.9091425641650384,0.18972598669378873,0.11170471203099902,0.6586702083775561
log_precision,random_forest,diagCMA,BS4,BS6,0.08887835219950913,0.038153460099047576,0.9091425641650384,0.3726635833844966,0.30411109672416065,-0.09028600287078437
log_precision,random_forest,diagCMA,BS5,BS1,0.09259381387579302,0.04288806800621747,0.9190330073762634,0.2299432540483581,0.1048877601178667,0.4152901457769511
log_precision,random_forest,diagCMA,BS5,BS2,0.09259381387579302,0.04288806800621747,0.9190330073762634,0.19262101149145447,0.09569975513433446,0.5444364661510277
log_precision,random_forest,diagCMA,BS5,BS3,0.09259381387579302,0.04288806800621747,0.9190330073762634,0.21980652565225295,0.1059193588064366,0.478660716018106
log_precision,random_forest,diagCMA,BS5,BS4,0.09259381387579302,0.04288806800621747,0.9190330073762634,0.16657867366509685,0.07962744070119816,0.6782039897978371
log_precision,random_forest,diagCMA,BS5,BS6,0.09259381387579302,0.04288806800621747,0.9190330073762634,0.3718119286462251,0.3004047168754742,-0.08573073045474677
log_precision,random_forest,diagCMA,BS6,BS1,0.06954435679515424,0.03337474202100659,0.9316591358038985,0.3189936511779858,0.24090108657991602,0.26255602580408066
log_precision,random_forest,diagCMA,BS6,BS2,0.06954435679515424,0.03337474202100659,0.9316591358038985,0.281518431036895,0.24029211183941335,0.44433865932081273
log_precision,random_forest,diagCMA,BS6,BS3,0.06954435679515424,0.03337474202100659,0.9316591358038985,0.3403379338943426,0.23726703851051728,0.18303451734153697
log_precision,random_forest,diagCMA,BS6,BS4,0.06954435679515424,0.03337474202100659,0.9316591358038985,0.3354020957618923,0.25774025280912344,0.29373314848562204
log_precision,random_forest,diagCMA,BS6,BS5,0.06954435679515424,0.03337474202100659,0.9316591358038985,0.326303629850073,0.24029211183941335,0.2594072310840312
log_precision,random_forest,DE,BS1,BS2,0.0641887079114534,0.04492141317096382,0.881563001231586,0.1303208421350021,0.09477516439096445,0.38571044943830035
log_precision,random_forest,DE,BS1,BS3,0.0641887079114534,0.04492141317096382,0.881563001231586,0.1474988329212443,0.09829969140890454,0.35270672316471996
log_precision,random_forest,DE,BS1,BS4,0.0641887079114534,0.04492141317096382,0.881563001231586,0.1614115067225814,0.09477462738910639,0.4242061825553315
log_precision,random_forest,DE,BS1,BS5,0.0641887079114534,0.04492141317096382,0.881563001231586,0.1491600585914254,0.0912213612255266,0.40006598347993494
log_precision,random_forest,DE,BS1,BS6,0.0641887079114534,0.04492141317096382,0.881563001231586,0.21684830106262615,0.24671185164184456,-0.039604914112642664
