train_suite,BS1,BS2,BS3,BS4,BS5,BS6
BS1,,0.165616162095741,0.1563865742740474,0.157498490496652,0.2046783168038954,0.7460301992060645
BS2,0.1368384699985553,,0.1176711238913921,0.1577844689497154,0.1934513060363882,0.5997354020312711
BS3,0.1997512090308687,0.1004752105445079,,0.1310974703243763,0.1337071279168554,0.2956066794067591
BS4,0.1414179765355513,0.1299474745167335,0.1336729553540971,,0.1638688794084504,0.4792190493517625
BS5,0.1345531751737286,0.1285432170752268,0.0954783175632209,0.1224082277845692,,0.2456267564894328
BS6,0.4790391040904275,0.492741890271211,0.4746550572918112,0.5063777871443716,0.5175260165573699,
